texture_name,tri_dumped_tga_sha1,tri_dumped_width,tri_dumped_height,tri_dumped_width_pow2,tri_dumped_height_pow2,tri_dumped_png_converted_sha1,tri_dumped_alpha_stripped_sha1
bee_suana_alp_ovl.bmp,02c7b22a8b86c7c33995433002097b2c0b87f83d,24,16,32,16,4f57d7faf2f5f855ebfde19592bf91f6d6902377,9f3e9f6ff9f7bfe22ac7cad3014a159cd4834b66
bee_suana_soko_alp_ovl.bmp,a2106b9d79f9843978ff0fb2130f753f9deae5b3,16,16,16,16,d993946f34e98fdde845868b63974221bfcdd76a,0000000000000000000000000000000000000000
biyopro.bmp,5a14abfa4b032b385701a9c6a948cc8d7fe66f7f,22,96,32,128,75b9a04a4711227ed415ecee51416ebd0a2a6181,e4fa782e9849aaf3f061401c5bad62bfeb46f35a
biyopro_b.bmp,085698a4ea1a7241dab87f4e82dfdf9dea7fc215,11,48,16,64,0a553bb433b3a0675f153b3ac8d83d5af50d67f6,eb57f8041c4014d9d3a72d1fc10cbd8a3599656f
biyopro_b.bmp_cf9c5a81302b08a5dcd0e564cb0a295d,d9572cb0b47e8819d9d026bef9c742abcbc90407,16,72,16,128,ba030358feb4da964aa6a44e338fe395067dbf79,87f10f534a8aeccba578ee9e75cc020001f09dcd
bkcona.bmp,2ae0b59ae3b5ebb7c949396c14639372fd0ede0e,64,128,64,128,9e2aff4462558e3c631baa14204137de9eb62319,cee4fcef39cfd440b27852199a6fd203d92b1fbd
bkconb.bmp,315431844d9d21712df2a45f67ffb8aeae8bf1ca,64,64,64,64,3b85d359acf0132ac36865985f4f6810128f2c85,c510c30729328c856648e1caef92f46d939e21e4
bkconc.bmp,647617bc945c929a0e54612519cbb002bdc3e1be,32,32,32,32,06b43c1ff6dc28f2635df06bd6cb7c2083b891ec,8160bfed82fd940bfcf4d215e16dc92c66d5d85c
bkirona.bmp,780bf2ae29eca0ed0816ec898c81f1a5a9ba294f,128,16,128,16,08c48e64ba0e329ba600d466025bedae6ea1860a,80d9f7b36432ccabb4a33abdc54f8a925c3c5d5a
black.bmp,c2d022c5c430198d9b931203f7756c9386990fc5,8,8,8,8,f67e6440bce47c76e3477b058702945a73398004,0000000000000000000000000000000000000000
black.bmp_3617cef31bbf2907710f5ff4c7cc5339,db018788a84f2f917768dba25b771728c5d6970e,16,16,16,16,f3e4cd0799f93d3ff4c9973a58cadf926c840745,6a637d2a93dd88598c276cbfa8d2e95587c28ce5
black16.bmp,2a3b11f83972a77d6efef7a9178c42bba127218c,16,16,16,16,a470a69cd413d74a2c9bed637fcd55caded2b82d,0000000000000000000000000000000000000000
blen_glass_ovl_sub_alp.bmp,b0809b236f276b3709dfd3067a6c5b730d27fbcf,42,42,64,64,22ea2a38a938d8b6b9367db876016fc9b5bbe168,0000000000000000000000000000000000000000
blen_glass_ovl_sub_alp.bmp_04b78b4ebbaa8b1a840ecfaa980ced46,c2f43f19b4e94e7a5cb5cbbdfd1de4c524c39739,8,8,8,8,6c5f95c4915623684150c31a3100a64a6c7ce57f,0000000000000000000000000000000000000000
blen_glass_ovl_sub_alp.bmp_902192bcc76cb57599b19cd017e859fa,d36b087a3c14d531438fbb3343ff0473245ac56b,42,42,64,64,a13b557288499ab961ecce50de1a6440ea4937b6,0000000000000000000000000000000000000000
blen_glass_ovl_sub_alp.bmp_b9c456a186c740eecc4d76fb57a6bc7c,32c8c6dd294bafb8c5b650da7bba3095927d0f20,42,42,64,64,473b701b5308a5ee238f224264894601620ebc45,0000000000000000000000000000000000000000
blen_napalm_sub_ovl_alp.bmp,a79fe3f02adaeb5bd60932c13e28675fb5f325a2,180,64,256,64,c4896cef18bfdcd54884975db7bf632d7355e431,8810ff64caa785fce443d80b6d7e7215f6cc7f6e
blen_nozzle_ovl_sub_alp.bmp,0aacd023e060313f62014ed62ef1ebb8242d2d31,64,64,64,64,899b148dbe4e8a2a9e10dd133dc1f3f30ea2803a,0000000000000000000000000000000000000000
blind_a00_alp_ovl.bmp,26ff6f854982ead86b4a35917600659757c2986c,80,160,128,256,8f16264aa9eb2e0cdd14da29524651d6bcd413bf,ff6cc8cb2e36aa65cb0c1ba5f3f9bed61539f277
boat_d.bmp,1180e8a20c3bf85183afcf722adac1455799f30f,24,24,32,32,41ea59bb830aa24b045cb9a2f567f4ff39edbbf5,7790c704801bb7eab5bb66d71d51e8ee9a06228e
